Source;Target
0;1
2;1
3;1
3;0
4;0
4;3
5;3
5;0
6;4
6;1
7;0
7;4
8;7
8;0
9;0
9;5
10;7
10;4
11;9
11;0
12;0
12;1
13;7
13;4
14;6
14;7
15;8
15;5
16;10
16;7
17;0
17;5
18;14
18;0
19;13
19;5
20;14
20;0
21;0
21;20
22;9
22;4
23;4
23;1
24;20
24;0
25;13
25;9
26;12
26;0
27;3
27;14
28;14
28;9
29;23
29;5
30;22
30;10
31;29
31;4
32;0
32;22
33;10
33;25
34;15
34;7
35;20
35;0
36;10
36;5
37;24
37;31
38;7
38;15
39;14
39;10
40;4
40;30
41;4
41;30
42;11
42;21
43;7
43;20
44;1
44;41
45;9
45;7
46;3
46;34
47;13
47;37
48;14
48;37
49;33
49;18
50;24
50;0
51;7
51;33
52;6
52;9
53;0
53;14
54;49
54;35
55;24
55;54
56;34
56;5
57;10
57;35
58;23
58;35
59;46
59;39
60;0
60;15
61;45
61;4
62;10
62;0
63;0
63;39
64;43
64;34
65;18
65;0
66;0
66;56
67;29
67;9
68;44
68;22
69;7
69;62
70;1
70;58
71;0
71;16
72;1
72;59
73;10
73;25
74;21
74;43
75;31
75;7
76;9
76;41
77;60
77;18
78;30
78;7
79;59
79;42
80;52
80;6
81;57
81;1
82;3
82;38
83;1
83;7
84;16
84;79
85;66
85;0
86;44
86;80
87;35
87;0
88;7
88;76
89;0
89;15
90;16
90;63
91;62
91;9
92;21
92;36
93;0
93;36
94;44
94;35
95;55
95;29
96;68
96;60
97;9
97;91
98;76
98;91
99;5
99;19
100;74
100;70
101;70
101;97
102;1
102;29
103;24
103;7
104;92
104;5
105;5
105;60
106;10
106;30
107;31
107;5
108;24
108;4
109;59
109;14
110;0
110;21
111;39
111;80
112;9
112;30
113;90
113;23
114;47
114;25
115;8
115;0
116;56
116;25
117;56
117;3
118;10
118;4
119;37
119;7
120;4
120;50
121;10
121;119
122;9
122;65
123;7
123;28
124;28
124;101
125;80
125;6
126;55
126;27
127;1
127;64
128;13
128;1
129;127
129;44
130;65
130;89
131;0
131;47
132;0
132;129
133;58
133;11
134;88
134;44
135;110
135;80
136;25
136;75
137;52
137;37
138;7
138;80
139;13
139;63
140;8
140;35
141;9
141;127
142;108
142;9
143;52
143;74
144;3
144;7
145;3
145;34
146;5
146;4
147;83
147;14
148;83
148;5
149;8
149;114
150;98
150;23
151;9
151;91
152;102
152;1
153;14
153;13
154;10
154;6
155;61
155;59
156;6
156;98
157;148
157;17
158;10
158;143
159;24
159;0
160;52
160;4
161;135
161;79
162;39
162;42
163;53
163;34
164;66
164;14
165;93
165;13
166;38
166;23
167;127
167;4
168;22
168;17
169;9
169;140
170;41
170;66
171;98
171;12
172;4
172;155
173;65
173;3
174;38
174;84
175;105
175;103
176;65
176;167
177;110
177;107
178;33
178;14
179;21
179;7
180;31
180;22
181;43
181;14
182;0
182;5
183;4
183;41
184;89
184;147
185;81
185;24
186;152
186;3
187;138
187;155
188;52
188;67
189;69
189;118
190;1
190;14
191;55
191;28
192;61
192;80
193;62
193;35
194;5
194;150
195;109
195;35
196;6
196;1
197;65
197;99
198;93
198;9
199;36
199;45
200;30
200;119
201;93
201;35
202;31
202;39
203;49
203;62
204;96
204;104
205;1
205;186
206;4
206;0
207;30
207;147
208;29
208;89
209;6
209;108
210;59
210;32
211;18
211;182
212;61
212;134
213;80
213;4
214;122
214;48
215;208
215;12
216;76
216;33
217;9
217;65
218;68
218;42
219;101
219;0
220;193
220;3
221;140
221;105
222;102
222;72
223;60
223;135
224;46
224;119
225;80
225;41
226;63
226;13
227;7
227;114
228;32
228;35
229;74
229;181
230;219
230;220
231;7
231;0
232;124
232;44
233;131
233;125
234;39
234;165
235;7
235;9
236;0
236;17
237;59
237;103
238;181
238;203
239;88
239;24
240;88
240;182
241;125
241;200
242;88
242;0
243;6
243;39
244;25
244;13
245;228
245;61
246;58
246;197
247;24
247;9
248;41
248;136
249;39
249;243
250;116
250;195
251;13
251;158
252;149
252;93
253;0
253;187
254;41
254;7
255;248
255;118
256;123
256;5
257;103
257;212
258;49
258;231
259;47
259;6
260;9
260;117
261;95
261;96
262;36
262;118
263;41
263;6
264;94
264;30
265;79
265;114
266;14
266;72
267;60
267;85
268;195
268;62
269;28
269;84
270;40
270;104
271;124
271;168
272;116
272;0
273;80
273;253
274;0
274;42
275;67
275;60
276;58
276;188
277;55
277;29
278;0
278;96
279;42
279;227
280;99
280;261
281;245
281;3
282;117
282;21
283;4
283;90
284;9
284;239
285;272
285;5
286;125
286;60
287;249
287;42
288;141
288;102
289;159
289;119
290;113
290;0
291;7
291;290
292;0
292;253
293;189
293;13
294;1
294;7
295;7
295;101
296;37
296;58
297;114
297;225
298;226
298;148
299;37
299;254
300;56
300;5
301;70
301;65
302;3
302;117
303;42
303;41
304;43
304;9
305;108
305;3
306;102
306;48
307;63
307;158
308;60
308;52
309;80
309;19
310;42
310;219
311;48
311;161
312;96
312;161
313;3
313;229
314;155
314;24
315;99
315;220
316;86
316;88
317;136
317;80
318;5
318;7
319;182
319;55
320;179
320;316
321;155
321;63
322;93
322;268
323;207
323;231
324;216
324;114
325;144
325;93
326;132
326;151
327;163
327;5
328;291
328;219
329;120
329;0
330;223
330;80
331;277
331;80
332;217
332;48
333;5
333;114
334;147
334;324
335;7
335;146
336;199
336;88
337;119
337;4
338;58
338;238
339;15
339;23
340;122
340;312
341;171
341;84
342;324
342;18
343;60
343;63
344;3
344;117
345;245
345;9
346;276
346;329
347;248
347;80
348;102
348;0
349;10
349;7
350;33
350;40
351;23
351;55
352;210
352;175
353;219
353;24
354;35
354;75
355;5
355;100
356;6
356;3
357;345
357;322
358;41
358;98
359;4
359;88
360;70
360;1
361;118
361;13
362;41
362;3
363;348
363;324
364;353
364;243
365;16
365;0
366;1
366;181
367;4
367;35
368;0
368;7
369;7
369;161
370;154
370;70
371;111
371;120
372;0
372;74
373;110
373;133
374;127
374;241
375;300
375;3
376;72
376;103
377;228
377;129
378;82
378;150
379;92
379;283
380;314
380;4
381;282
381;3
382;267
382;182
383;30
383;72
384;30
384;114
385;144
385;286
386;68
386;93
387;4
387;231
388;249
388;31
389;147
389;148
390;5
390;1
391;277
391;178
392;247
392;24
393;310
393;34
394;25
394;76
395;334
395;58
396;293
396;112
397;30
397;108
398;125
398;14
399;5
399;277
400;94
400;59
401;207
401;205
402;203
402;201
403;65
403;313
404;299
404;9
405;88
405;7
406;137
406;345
407;396
407;371
408;249
408;53
409;3
409;114
410;35
410;355
411;4
411;359
